เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 354,คำเสนอที่ไม่ได้บอกระยะเวลาจะถอนไม่ได้
มาตรา 355,บุคคลทำคำเสนอไปยังผู้อื่นที่อยู่ห่าง และไม่ได้บอกระยะเวลาให้ทำ ภายหลังจะถอนคำเสนอของตนไม่ได้
มาตรา 356,คำเสนอทำแก่บุคคลเฉพาะหน้า ไม่ได้บอกให้ทำคำสนอง ให้ตอบรับ ณ ตอนนั้น
มาตรา 357,คำเสนอบอกปัด ไม่สนองภายในกำหนดเวลา คำเสนอสิ้นไป
มาตรา 358,ถ้าคำสนองมาล่วงเวลา แต่คำเสนอนั้นส่งทางการปกติ ต้องบอกกล่าว แก่คู่กรณีอีกฝ่ายทันทีว่ามาช้า ไม่บอกถือว่าไม่ช้า
มาตรา 359,"ถ้าคำสนองมาถึงล่วงเวลา ให้ถือว่าเป็นคำเสนอใหม่
ว.2 คำสนองที่มีข้อความเพิ่ม มีข้อกำจัด แก้ไข ให้ถือว่าบอกปัดไม่รับ ให้ถือเป็นคำเสนอใหม่"
มาตรา 360,คำเสนอห่างโดยระยะทาง ภายหลังผู้เสนอตาย คำเสนอนั้นสิ้นไปหาก ขัดกับเจตนาผู้เสนอให้ไว้ ผู้สนองรู้อยู่แล้วว่าผู้เสนอตาย
มาตรา 361,สัญญาของผู้อยู่ห่างกันโดยระยะทาง เกิดขึ้นเมื่อคำสนองไปถึงผู้เสนอ
มาตรา 366,"ถ้ายังไม่ได้ตกลงกันในข้อสำคัญทุกข้อ หากมีความสงสัย ว่าสัญญาเกิดหรือไม่ ถือว่ายังไม่เกิด
ว.2 ตกลงกันว่าจะทำเป็นหนังสือ หากสงสัยว่าเกิดสัญญาหรือไม่ ถือว่าสัญญาไม่เกิด"
มาตรา 369 สัญญาต่างตอบแทน,ฝ่ายหนึ่งไม่ชำระหนี้ อีกฝ่ายปฏิเสธไม่ชำระหนี้จนกว่าอีกจะชำระก็ได้ เว้นแต่หนี้ยังไม่ถึงกำหนดชำระ
มาตรา 370,สัญญาต่างตอบแทนการโอนทรัพย์เฉพาะสิ่ง หากทรัพย์นั้นเสียหายด้วย เหตุอันจะโทษลูกหนี้ไม่ได้ ความเสียหายตกเป็นพับแก่เจ้าหนี้
มาตรา 371,"สัญญาต่างตอบแทนการโอนทรัพย์เฉพาะสิ่งที่มีเงื่อนไขการบังคับก่อน เกิดความเสียหายระหว่างที่เงื่อนไขยังไม่เสร็จ ความเสียหายไม่เป็นพับ แก่เจ้าหนี้
ว.2 เงื่อนไขเสร็จแล้ว เกิดความเสียหายอันโทษเจ้าหนี้ไม่ได้
- เรียกให้ชำระหนี้แล้วลดส่วนที่ตนต้องชำระลง
- เลิกสัญญา เรียกค่าเสียหาย"
มาตรา 372,"ส.ต่างตอบแทนที่ไม่โอนกรรมสิทธิ ถ้าความเสียหายตกเป็นพ้นวิสัย ด้วยเหตุอันโทษใครไม่ได้ ลูกหนี้ไม่มีสิทธิรับชำระ
ว.2 การพ้นวิสัยเกิดขึ้นโดยโทษเจ้าหนี้ได้ ลูกหนี้มีสิทธิรับชำระหนี้แต่ ต้องมีการหักลบ เจ้าหนี้รับผิดต้องชำระตามเดิม"
มาตรา 374 สัญญาเพื่อประโยชน์บุคคลภายนอก,"ฝ่ายหนึ่งได้ตกลงทำสัญญาว่าจะชำระหนี้ให้แก่บุคคลภายนอก โดย บุคคลภายนอกมีสิทธิรับชำระโดยตรง
ว.2 สิทธิบุคคลภายนอกเกิดขึ้นเมื่อแสดงเจตนาต่อลูกหนี้ว่าจะ ถือเอาประโยชน์ตามสัญญา"
มาตรา 375,เมื่อบุคคลภายนอกถือเอาประโยชน์แล้ว คู่สัญญาไม่อาจเปลี่ยนแปลง ระงับ สิทธินั้นได้
มาตรา 376,ข้อต่อสู้ของคู่สัญญาที่มีอยู่เดิม ยกขึ้นต่อสู้กับผู้รับประโยชน์ได้
มาตรา 377,มัดจำ คือ เงินหรือสิ่งมีค่าที่ให้ไว้ในวันทำสัญญาเพื่อเป็นหลักฐานหรือ ประกันการปฏิบัติตามสัญญา
มาตรา 378,"มัดจำถ้าไม่ได้กำหนดไว้อย่างอื่น
1- เมื่อชำระหนี้แล้วให้ ส่งคืน หรือคิดเป็นการชำระบางส่วน
2- ฝ่ายวางมัดจำไม่ชำระ/พ้นวิสัยเพราะฝ่ายวางผิด/เลิกสัญญาเพราะ ฝ่ายวางผิด ให้ริบ
3- ฝ่ายรับมัดจำผิดนัดไม่ชำระ/พ้นวิสัยเพราะฝ่ายรับ ให้ส่งคืน"
มาตรา 379,เบี้ยปรับ กำหนดไว้ล่วงหน้าใน ส. ว่าจะชำระเงิน ถ้าไม่ชำระหนี้ หรือ ชำระไม่ถูกต้องตามสมควร
มาตรา 380,"ถ้าเรียกเบี้ยปรับ กรณีไม่ชำระหนี้ เลือกอย่างหนึ่ง
- เรียกเบี้ยปรับ+ค่าเสียหาย **หมดสิทธิเรียกให้ชำระหนี้
- เลือกให้ชำระหนี้ + ค่าเสียหาย **หมดสิทธิปรับ"
มาตรา 381,"เรียกเบี้ยปรับกรณี ชำระหนี้ไม่ถูกต้อง เรียกได้ดังนี้
- เรียกให้ชำระหนี้
- เรียกค่าเสียหาย **พิสูจน์ต่อศาล
- เรียกเบี้ยปรับ แต่ต้องสงวนสิทธิไว้ตอนรับชำระหนี้ว่ายังต้องการเบี้ย ปรับอยู่ ว.3"
มาตรา 382,"ถ้าเบี้ยปรับเป็นการชำระด้วยอย่างอื่น เลือกอย่างหนึ่ง
- เรียกเบี้ยปรับ แต่สิทธิค่าสินไหมหายไป
- เรียกให้ชำระ+ค่าสินไหม แต่ไม่ได้ค่าปรับ"
มาตรา 383,เบี้ยปรับสูงเกินศาลปรับลดได้ แต่ห้ามไม่คิด
มาตรา 386,"การเลิกสัญญาทำได้โดยการแสดงเจตนา และถอนไม่ได้อาจเลิกโดย
- ตามข้อสัญญา
- ตามบทกฎหมาย"
มาตรา 387,ฝ่ายหนึ่งไม่ชำระหนี้ ฝ่ายหนึ่งอาจกำหนดเวลาแล้วบอกกล่าวให้ชำระ เมื่อพ้นกำหนดไม่ชำระ เลิกสัญญาได้
มาตรา 388,ถ้าเป็นหนี้ที่กำหนดการชำระหนี้เป็นสาระสำคัญ บอกเลิกสัญญาได้ โดยไม่ต้องบอกกล่าว
มาตรา 389,การชำระหนี้พ้นวิสัยอันโทษลูกหนี้ได้ เจ้าหนี้บอกเลิกได้
มาตรา 390,คู่สัญญาหลายคนใช้สิทธิเลิกสัญญาต้องยินยอมทุกคน และส่งให้อีก ฝ่ายทุกคน
มาตรา 391,"เมื่อใช้สิทธิบอกเลิกสัญญาแล้ว ให้คู่สัญญากลับสู่สถานะเดิม แต่ คุ้มครองบุคคลภายนอกที่สุจริต
ว.2 ใช้เงินคืน ให้คิดดอกเบี้ยตั้งแต่วันรับไว้
ว.3 การงานที่ทำให้/ยอมให้ใช้ทรัพย์ ให้ใช้เงินทดแทน
ว.2 การเลิกสัญญามีสิทธิเรียกร้องค่าเสียหาย"
มาตรา 195 ทรัพย์เฉพาะสิ่ง,"ถ้าทรัพย์ซึ่งเป็นวัตถุแห่งหนี้ ระบุเพียงประเภท ถ้าสภาพแห่งนิติกรรม หรือตามเจตนาของคู่กรณีไม่กำหนดว่าทรัพย์เป็นชนิดใด ลูกหนี้จะต้อง ส่งมอบทรัพย์ชนิดปานกลาง
ถ้าลูกหนี้ได้กระทำการอันตนจะพึงต้องทำเพื่อส่งมอบทรัพย์สิ่ง นั้นทุกประการแล้ว ถ้าลูกหนี้ได้เลือกทรัพย์ที่จะส่งมอบด้วยความ ยินยอมของเจ้าหนี้ ทรัพย์เป็นวัตถุแห่งหนี้"
มาตรา 203 หนี้ไม่ได้กำหนดเวลาชำระ,"ถ้าไม่ได้กำหนดเวลาชำระหนี้ หรืออนุมานจากพฤติการณ์ไม่ได้ เจ้าหนี้ สามารถให้ชำระหนี้ได้โดยพลัน และลูกหนี้สามารถชำระหนี้ได้โดย พลันเช่นกัน
ถ้ากำหนดเวลาไว้ และเกิดสงสัย ให้สันนิษฐานไว้ก่อนว่าเจ้าหนี้ เรียกให้ชำระหนี้ก่อนถึงเวลาไม่ได้ แต่ฝ่ายลูกหนี้สามารถชำระหนี้ก่อน ได้"
มาตรา 204 หนี้มีกำหนดเวลา,"ถ้าหนี้ถึงกำหนดแล้ว เจ้าหนี้ได้เตือนลูกหนี้แล้ว ลูกหนี้ยังไม่ชำระ ถือว่าลูกหนี้ได้ผิดนัด
ถ้ากำหนดเวลาชำระหนี้ไว้ตามวันแห่งปฏิทิน ลูกหนี้มิได้ชำระหนี้ ตามกำหนด ถือว่าลูกหนี้ตกเป็นผู้ผิดนัดโดยมิก้องเตือน รวมถึง กรณีที่ต้องบอกกล่าวล่วงหน้าก่อน ซึ่งได้กำหนดเวลาไว้นับแต่วันที่ได้ บอกกล่าว"
มาตรา 205,ถ้าการชำระหนี้ทำไม่ได้ เพราะพฤติการณ์ซึ่งลูกหนี้ไม่ต้องรับผิดชอบ ถือว่าลูกหนี้ไม่ใช่ผู้ผิดนัด
มาตรา 206 หนี้ละเมิด,หนี้อันเกิดแต่มูลละเมิด ลูกหนี้ผิดนัดมาแต่เวลาที่ทำละเมิด
มาตรา 207,ถ้าลูกหนี้ขอชำระหนี้ และเจ้าหนี้ไม่รับชำระหนี้ โดยปราศจากเหตุอัน จะอ้างกฎหมายได้ เจ้าหนี้ตกเป็นผู้ผิดนัด
มาตรา 208,"การชำระหนี้ ลูกหนี้จะต้องชำระหนี้ต่อเจ้าหนี้โดยตรง
ถ้าเจ้าหนี้ได้แสดงแก่ลูกหนี้ว่า จะไม่รับชำระหนี้ หรือเจ้าหนี้ต้อง กระทำการก่อนรับชำระ ลูกหนี้จะบอกกล่าวเจ้าหนี้ว่า พร้อมชำระแล้ว"
มาตรา 209,ถ้ากำหนดเวลาไว้แน่นอนเพื่อให้เจ้าหนี้กระทำการใด ลูกหนี้จะชำระ หนี้ได้ เมื่อเจ้าหนี้ทำการนั้นแล้วภายในกำหนดเวลา
การหักกลบลบหนี้ / แปลงหนี้ใหม่ (ม.349-350),"การแสดงเจตนาดังกล่าว มีผลย้อนหลังถึงเวลาที่หนี้ทั้งสองฝ่าย สามารถหักกลบลบกันได้เป็นครั้งแรก
ถ้าหนี้มีเงื่อนไขแล้วเปลี่ยนเป็นหนี้ปราศจากเงื่อนไข หรือเพิ่ม เงื่อนไขในหนี้ที่ปราศจากเงื่อนไข หรือเปลี่ยนเงื่อนไข ถือว่าเป็นการ เปลี่ยนสิ่งที่เป็นสาระสำคัญแห่งหนี้
ถ้าแปลงหนี้ใหม่โดยเปลี่ยนตัวเจ้าหนี้ ให้บังคับตามบทบัญญัติว่า ด้วยการโอนสิทธิเรียกร้อง"
มาตรา 350,การแปลงหนี้ใหม่โดยเปลี่ยนตัวลูกหนี้ อาจทำเป็นสัญญาระหว่าง เจ้าหนี้กับลูกหนี้คนใหม่ได้ แต่จะบังคับลูกหนี้เดิมโดยไม่สมัครใจไม่ได้
